티커,종목명,시장,타깃그룹,Sector,Industry,종가,시가총액,PBR,PER,ROE,BPS,DIV
004250,NPC,KOSPI,일반,플라스틱제품 제조업,"산업용기프라스틱제품(플라스틱 파렛트,시트 파렛트) 제조,판매",2840.0,104284000000.0,0.24071,7.57,3.178389084507042,11798.429645631673,3.697
013870,지엠비코리아,KOSPI,일반,자동차 신품 부품 제조업,"V/S,EWP,ITM,CVJOINT",3820.0,72856000000.0,0.24075,3.41,7.058638743455497,15867.082035306335,6.545
000850,화천기공,KOSPI,일반,특수 목적용 기계 제조업,"CNC선반,CNC밀링,연마기(금속공작기계),MC공작기계,COPY밀링기계,주방품 제조,도매",39600.0,87120000000.0,0.24181,4.25,5.683145631313131,163764.93941524337,3.283
352700,씨앤투스,KOSDAQ,일반,화학섬유 제조업,"에어필터, 산업용 및 보건용 마스크",1443.0,37917000000.0,0.24227,,-7.723090783090783,5956.164609732942,3.465
034830,한국토지신탁,KOSPI,일반,신탁업 및 집합투자업,부동산신탁 등,1162.0,293392000000.0,0.24283,7.17,3.3854096385542167,4785.24070337273,6.024
036000,예림당,KOSDAQ,일반,"서적, 잡지 및 기타 인쇄물 출판업",무선가입자망 단말기 및 차량용핸즈프리,2800.0,64495000000.0,0.24317,6.8,3.5780728571428577,11514.578278570547,5.357
010100,한국무브넥스,KOSPI,일반,자동차 신품 부품 제조업,"자동차부품(제동,구동장치),프랜지(관이음쇠),철구조물,산업기계 제조",3420.0,104140000000.0,0.2432,4.76,5.1128888888888895,14062.5,2.924
123420,위메이드플레이,KOSDAQ,일반,소프트웨어 개발 및 공급업,모바일게임,6420.0,66774000000.0,0.24367,6.16,3.958688629283489,26347.10879468133,2.625
043370,피에이치에이,KOSDAQ,일반,자동차 신품 부품 제조업,"자동차용 도어랫치, 도어힌지",11170.0,234570000000.0,0.24513,4.09,5.999869471799462,45567.65797739975,3.581
049830,승일,KOSDAQ,일반,기타 금속 가공제품 제조업,"에어졸캔,에어졸발브,일반관",6290.0,38570000000.0,0.24554,12.12,2.025997774244833,25617.00741223426,2.385
009770,삼정펄프,KOSPI,일반,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",27750.0,69374000000.0,0.24635,4.57,5.394843063063063,112644.61132535011,3.604
213500,한솔제지,KOSPI,일반,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",7540.0,179456000000.0,0.24661,8.12,3.0351999999999997,30574.591460200318,6.631
058450,한주에이알티,KOSDAQ,일반,"영화, 비디오물, 방송프로그램 제작 및 배급업","컴퓨터, 복사기 등의 부품",912.0,4922000000.0,0.24733,,-44.09633552631579,3687.381231552986,146.82
065130,탑엔지니어링,KOSDAQ,일반,특수 목적용 기계 제조업,LCD Cell Line 자동화 장치,2740.0,43850000000.0,0.24762,,-5.4584846715328466,11065.342056376707,3.65
033830,티비씨,KOSDAQ,일반,텔레비전 방송업,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매",1703.0,32198000000.0,0.2478,11.28,2.1971697005284794,6872.477804681194,4.11
128540,에코캡,KOSDAQ,일반,자동차 신품 부품 제조업,"자동차 부품(전선, 케이블, 벌브소켓, LED 등)",1127.0,30080000000.0,0.24941,3.05,8.188260869565218,4518.664047151277,
128820,대성산업,KOSPI,일반,연료 소매업,"주요소운영,기계판매 등",4020.0,181846000000.0,0.25002,,-6.605005970149254,16078.713702903766,2.985
004690,삼천리,KOSPI,일반,연료용 가스 제조 및 배관공급업,도시가스 공급/부동산 임대,131400.0,476558000000.0,0.25014,3.87,6.465757305936074,525305.8287359079,2.283
019680,대교,KOSPI,건설/인프라 피어,초등 교육기관,"학습지,참고서 출판/건설업/종합유선방송 프로그램공급,디지털학원",1617.0,65058000000.0,0.25044,,-11.538515769944341,6456.6363200766655,7.421
084650,랩지노믹스,KOSDAQ,일반,자연과학 및 공학 연구개발업,체외진단 서비스 및 제품,500.0,37119000000.0,0.25087,,-34.870929999999994,1993.0641368039226,10.0
079980,휴비스,KOSPI,일반,화학섬유 제조업,"합성섬유(폴리에스테르원사,원면),재생섬유,폴리에스텔 원사,원면,고상칩 제조,도소매",1924.0,66378000000.0,0.25287,,-4.71831237006237,7608.652667378496,15.593
130740,티피씨글로벌,KOSDAQ,일반,자동차 신품 부품 제조업,"정밀인발강관, 정밀강관, Water pipe, Filler Neck 등",1936.0,21831000000.0,0.25313,1.33,19.102424070247935,7648.243985303993,1.55
000680,LS네트웍스,KOSPI,일반,상품 종합 도매업,"혁화,의류,등산용품 도매,제조/부동산 임대",2970.0,234044000000.0,0.25357,,-0.8025447811447811,11712.742043617147,0.337
088790,진도,KOSPI,일반,기타 전문 도매업,"모피제품 제조,가공",2400.0,29874000000.0,0.2543,4.13,6.156179166666668,9437.672040896578,6.25
002450,삼익악기,KOSPI,일반,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",1099.0,99493000000.0,0.25474,2.4,10.616098271155597,4314.20271649525,4.55
016380,KG스틸,KOSPI,일반,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",5730.0,573050000000.0,0.25478,3.09,8.252559860383943,22489.9913650993,5.236
080520,오디텍,KOSDAQ,일반,반도체 제조업,"광반도체, 소자 및 모듈",2865.0,32438000000.0,0.25487,17.05,1.4945256544502616,11241.024836191,3.49
007980,TP,KOSPI,일반,봉제의복 제조업,"봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역",1723.0,80804000000.0,0.25551,2.38,10.736461984910042,6743.375993111815,4.353
038620,위즈코프,KOSDAQ,건설/인프라 피어,연료 소매업,인터넷 인프라 및 응용,1930.0,29231000000.0,0.25593,2.05,12.464984455958549,7541.124526237643,3.255
